pair,A,B,status,reason
APT-ATOM,APT,ATOM,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-ATOM = (APT-SOL) - (ATOM-SOL) = K683(APT-SOL) - K684(ATOM-SOL). Algebraically redundant.
APT-AVAX,APT,AVAX,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-AVAX = (APT-SOL) - (AVAX-SOL) = K683(APT-SOL) - K687(AVAX-SOL). Algebraically redundant.
APT-BNB,APT,BNB,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-BNB = (APT-SOL) - (BNB-SOL) = K683(APT-SOL) - K700(BNB-SOL). Algebraically redundant.
APT-ENA,APT,ENA,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-ENA = (APT-SOL) - (ENA-SOL) = K683(APT-SOL) - K696(ENA-SOL). Algebraically redundant.
APT-FIL,APT,FIL,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-FIL = (APT-SOL) - (FIL-SOL) = K683(APT-SOL) - K739(FIL-SOL). Algebraically redundant.
APT-HBAR,APT,HBAR,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-HBAR = (APT-SOL) - (HBAR-SOL) = K683(APT-SOL) - K735(HBAR-SOL). Algebraically redundant.
APT-INJ,APT,INJ,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-INJ = (APT-SOL) - (INJ-SOL) = K683(APT-SOL) - K686(SOL-INJ). Algebraically redundant.
APT-LDO,APT,LDO,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-LDO = (APT-SOL) - (LDO-SOL) = K683(APT-SOL) - K721(LDO-SOL). Algebraically redundant.
APT-SEI,APT,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-SEI = (APT-SOL) - (SEI-SOL) = K683(APT-SOL) - K689(SEI-SOL). Algebraically redundant.
APT-SOL,APT,SOL,ACCEPT,Family member (accepted pair)
APT-TIA,APT,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: APT-TIA = (APT-SOL) - (TIA-SOL) = K683(APT-SOL) - K694(TIA-SOL). Algebraically redundant.
ATOM-AVAX,ATOM,AVAX,BLOCKED_SOL_TRIANGLE,MR9 L002: ATOM-AVAX = (ATOM-SOL) - (AVAX-SOL) = K684(ATOM-SOL) - K687(AVAX-SOL). Algebraically redundant.
ATOM-BNB,ATOM,BNB,BLOCKED_SOL_TRIANGLE,MR9 L002: ATOM-BNB = (ATOM-SOL) - (BNB-SOL) = K684(ATOM-SOL) - K700(BNB-SOL). Algebraically redundant.
ATOM-ENA,ATOM,ENA,ACCEPT,Family member (accepted pair)
ATOM-FIL,ATOM,FIL,BLOCKED_SOL_TRIANGLE,MR9 L002: ATOM-FIL = (ATOM-SOL) - (FIL-SOL) = K684(ATOM-SOL) - K739(FIL-SOL). Algebraically redundant.
ATOM-HBAR,ATOM,HBAR,BLOCKED_SOL_TRIANGLE,MR9 L002: ATOM-HBAR = (ATOM-SOL) - (HBAR-SOL) = K684(ATOM-SOL) - K735(HBAR-SOL). Algebraically redundant.
ATOM-INJ,ATOM,INJ,ACCEPT,Family member (accepted pair)
